Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	252.413	0	0
FBgn0283429	369	198.52	3.80597	6.31345
FBgn0267873	257	86.6084	0	0
FBgn0267896	719	548.139	0	0
FBgn0260225	1197	1026.06	0.116635	1
FBgn0262849	1188	1017.06	2.78137	23.6376
FBgn0040928	1085	914.058	2.74946	21
FBgn0262789	532	361.246	0	0
FBgn0058461	391	220.459	1.20122	2.21282
FBgn0042701	620	449.246	1.70749	6.40975
FBgn0263493	352	181.538	0	0
FBgn0265917	359	188.52	0	0
FBgn0262163	610	439.246	0	0
FBgn0085831	237	66.6158	0	0
FBgn0267108	321	150.538	5.19525	6.53508
FBgn0051032	770	599.139	8.78877	44
FBgn0266102	391	220.459	0	0
FBgn0053867	526	355.246	0.000329215	0.00097725
FBgn0267026	323	152.538	0	0
FBgn0267519	2689	2518.06	2120.16	44609.9
FBgn0058005	1227	1056.06	0.38668	3.41222
FBgn0039979	803	632.139	7.03059	37.1365
FBgn0053318	523	352.246	0.679495	2
FBgn0053805	440	269.413	0	0
FBgn0267419	780	609.139	0	0
FBgn0267892	760	589.139	0	0
FBgn0267902	582	411.246	0	0
FBgn0267867	274	103.579	1.40127	1.21281
FBgn0262964	777	606.139	0.197438	1
FBgn0085790	1041	870.058	0	0
FBgn0267879	601	430.246	0	0
FBgn0267886	266	95.5992	0	0
FBgn0085291	1130	959.058	0	0
FBgn0263093	1182	1011.06	18.5438	156.665
FBgn0267885	690	519.246	0	0
FBgn0030117	636	465.246	0	0
FBgn0058182	291	120.579	1.03815	1.04599
FBgn0052518	75	18.5738	0	0
FBgn0027934	1345	1174.06	0	0
FBgn0085340	423	252.413	0	0
FBgn0263744	845	674.139	0.177522	1
FBgn0263207	354	183.538	0.834405	1.27968
FBgn0263210	221	50.6637	4.56374	1.93203
FBgn0267427	697	526.246	0	0
FBgn0263975	1131	960.058	2.49307	20
FBgn0267869	420	249.413	0	0
FBgn0037560	620.424	511.185	48.6328	325
FBgn0263212	220	49.6637	0	0
FBgn0085732	615.019	543.158	54.0544	583.589
FBgn0267593	610	439.246	0	0
FBgn0058100	394	223.437	4.40478	8.22386
FBgn0264888	465	294.413	0.406487	1
FBgn0037143	1446	1275.06	0	0
FBgn0262510	501	330.349	2.73632	7.55332
FBgn0263771	276	105.579	0	0
FBgn0053315	421	250.413	0	0
FBgn0267051	629	458.246	0	0
FBgn0050029	480	309.341	0	0
FBgn0085791	1041	870.058	0	0
FBgn0085804	252	81.6084	0	0
FBgn0267876	766	595.139	0	0
FBgn0267494	656	485.246	0	0
FBgn0085792	1211	1040.06	2.15727	18.7482
FBgn0053013	2636	2465.06	0	0
FBgn0266211	1668	1497.06	0.959279	12
FBgn0267884	453	282.413	0	0
FBgn0265141	1303	1132.06	0	0
FBgn0051292	452	281.413	0.382167	0.898657
FBgn0053294	1200.93	1096.59	2.33148	35
FBgn0000280	166	11.8338	0	0
FBgn0262885	102	33.73	0	0
FBgn0262852	1188	1017.06	2.78137	23.6376
FBgn0011812	456	285.413	0	0
FBgn0265533	384.5	213.976	0	0
