Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.811	0	0
FBtr0300738	2350	2176.65	0	0
FBtr0300739	2172	1998.65	0	0
FBtr0300737	2184	2010.65	1.48774	23
FBtr0300736	2338	2164.65	0	0
FBtr0078628	2467	2293.65	0	0
FBtr0300740	2479	2305.65	0	0
FBtr0078627	2301	2127.65	0	0
FBtr0300741	2313	2139.65	0	0
FBtr0072762	889	715.651	75.3196	414.452
FBtr0346821	1270	1096.65	5.00647	42.2148
FBtr0331460	900	726.651	0	0
FBtr0303848	5005	4831.65	5.75199	213.687
FBtr0086122	1465	1291.65	0.604146	6
FBtr0335147	3125	2951.65	0	0
FBtr0081459	3019	2845.65	22.1513	484.67
FBtr0305321	6523	6349.65	1.08495	52.9694
FBtr0083716	5665	5491.65	20.6047	870.031
FBtr0078184	1305	1131.65	0.459709	4
FBtr0081691	765	591.651	0	0
FBtr0085263	1228	1054.65	0.061659	0.5
FBtr0086342	492	318.845	0	0
FBtr0086343	495	321.845	0	0
FBtr0091847	1023	849.651	0.642917	4.2001
FBtr0072393	1393	1219.65	14.0218	131.493
FBtr0343502	867	693.651	5.79477e-08	3.09059e-07
FBtr0343753	3569	3395.65	3.5787	93.4356
FBtr0433525	3725	3551.65	0	0
FBtr0113895	961	787.651	28.1205	170.303
FBtr0345179	887	713.651	58.9914	323.697
FBtr0334135	4703	4529.65	0	0
FBtr0334137	4561	4387.65	0.369953	12.4808
FBtr0334141	5321	5147.65	0	0
FBtr0334139	4203	4029.65	0	0
FBtr0334140	5704	5530.65	0	0
FBtr0344148	4894	4720.65	0	0
FBtr0334142	5071	4897.65	0	0
FBtr0334138	5563	5389.65	0	0
FBtr0334136	3862	3688.65	3.61512	102.531
FBtr0085105	995	821.651	11.0802	70
FBtr0346720	2745	2571.65	0	0
FBtr0076089	442	268.934	0	0
FBtr0087500	1417	1243.65	12.7584	122
FBtr0073094	1694	1520.65	6.04124	70.6351
FBtr0073093	1577	1403.65	72.8619	786.365
FBtr0343515	1092	918.651	0	0
FBtr0072451	975	801.651	9.40975	58
FBtr0071607	2252	2078.65	2.81557	45
FBtr0081516	4704	4530.65	0.114825	4
FBtr0300749	931	757.651	1.01606	5.91905
