Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.316	0	0
FBtr0300738	2350	2179.06	0	0
FBtr0300739	2172	2001.06	2.45026	40.9703
FBtr0300737	2184	2013.06	0.00176731	0.0297281
FBtr0300736	2338	2167.06	0	0
FBtr0078628	2467	2296.06	0	0
FBtr0300740	2479	2308.06	0	0
FBtr0078627	2301	2130.06	0	0
FBtr0300741	2313	2142.06	0	0
FBtr0072762	889	718.139	68.8201	412.972
FBtr0346821	1270	1099.06	3.67083	33.7118
FBtr0331460	900	729.139	0	0
FBtr0303848	5005	4834.06	3.20349	129.4
FBtr0086122	1465	1294.06	0.832322	9
FBtr0335147	3125	2954.06	0	0
FBtr0081459	3019	2848.06	21.7745	518.197
FBtr0305321	6523	6352.06	0	0
FBtr0083716	5665	5494.06	15.531	713
FBtr0078184	1305	1134.06	0.316584	3
FBtr0081691	765	594.139	0	0
FBtr0085263	1228	1057.06	0.169822	1.5
FBtr0086342	492	321.382	0	0
FBtr0086343	495	324.349	0	0
FBtr0091847	1023	852.058	0.751753	5.35232
FBtr0072393	1393	1222.06	76.7361	783.59
FBtr0343502	867	696.139	0	0
FBtr0343753	3569	3398.06	4.04326	114.805
FBtr0433525	3725	3554.06	0	0
FBtr0113895	961	790.139	22.6412	149.486
FBtr0345179	887	716.139	49.5509	296.514
FBtr0334135	4703	4532.06	0	0
FBtr0334137	4561	4390.06	0.584168	21.4292
FBtr0334141	5321	5150.06	0	0
FBtr0334139	4203	4032.06	0	0
FBtr0334140	5704	5533.06	0	0
FBtr0344148	4894	4723.06	0	0
FBtr0334142	5071	4900.06	0	0
FBtr0334138	5563	5392.06	0	0
FBtr0334136	3862	3691.06	3.9741	122.571
FBtr0085105	995	824.058	4.21156	29
FBtr0346720	2745	2574.06	0	0
FBtr0076089	442	271.413	0	0
FBtr0087500	1417	1246.06	8.73988	91
FBtr0073094	1694	1523.06	5.50046	70.0024
FBtr0073093	1577	1406.06	75.9212	891.998
FBtr0343515	1092	921.058	0	0
FBtr0072451	975	804.058	9.07914	61
FBtr0071607	2252	2081.06	2.93284	51
FBtr0081516	4704	4533.06	0.105602	4
FBtr0300749	931	760.139	3.32505	21.1198
FBtr0346532	1185	1014.06	0	0
FBtr0073076	880	709.139	59.2148	350.88
FBtr0089289	4677	4506.06	0.726298	27.347
FBtr0100448	4590	4419.06	1.48023	54.6582
FBtr0089290	4681	4510.06	0.0109061	0.411005
FBtr0089288	4037	3866.06	9.38207	303.085
FBtr0100447	4417	4246.06	1.21838	43.228
FBtr0329933	4663	4492.06	1.37772	51.7135
FBtr0336949	2826	2655.06	18.9864	421.225
FBtr0088786	1378	1207.06	68.6208	692.12
FBtr0088785	1869	1698.06	14.6048	207.226
FBtr0303077	607	436.246	0	0
FBtr0339716	615	444.246	0	0
FBtr0085459	600	429.246	69.7006	250
FBtr0070973	1218	1047.06	0.228592	2
FBtr0089252	2767	2596.06	0.506765	10.993
FBtr0334488	2840	2669.06	1.50632	33.5949
FBtr0334489	2902	2731.06	0.88648	20.2301
FBtr0100600	3804	3633.06	4.1565	126.182
FBtr0300305	309	138.553	0	0
FBtr0077162	567	396.246	0	0
FBtr0072277	713	542.139	48.564	220
FBtr0344898	1082	911.058	0	0
FBtr0086817	1175	1004.06	0	0
FBtr0333271	5146	4975.06	0.486785	20.2364
FBtr0072639	5149	4978.06	0.234722	9.76363
FBtr0340000	824	653.139	0.603312	3.29264
FBtr0087390	427	256.413	282.7	605.707
FBtr0070472	3021	2850.06	1.87341e-07	4.46153e-06
FBtr0331752	4499	4328.06	19.6659	711.219
FBtr0070475	3174	3003.06	6.43221	161.407
FBtr0070474	3218	3047.06	1.04931	26.7166
FBtr0302185	2166	1995.06	6.74911e-08	1.12512e-06
FBtr0070471	4805	4634.06	5.14391	199.183
FBtr0112828	2903	2732.06	5.51964	126.008
FBtr0301966	3182	3011.06	0	0
FBtr0070468	3055	2884.06	14.2189	342.663
FBtr0070476	2745	2574.06	0.293442	6.31158
FBtr0070470	3110	2939.06	0	0
FBtr0331751	4750	4579.06	0.584827	22.377
FBtr0070469	4244	4073.06	9.39817	319.861
FBtr0070467	2929	2758.06	0	0
FBtr0331753	5004	4833.06	0.498788	20.1435
FBtr0070466	2847	2676.06	5.77381	129.109
FBtr0070473	3091	2920.06	0	0
FBtr0076265	1575	1404.06	49.0953	576
FBtr0331935	1030	859.058	0	0
FBtr0088237	816	645.139	92.5657	499
FBtr0081705	1363	1192.06	0	0
FBtr0088524	1299	1128.06	69.064	651
FBtr0074540	843	672.139	19.4075	109
FBtr0074494	1357	1186.06	0.302704	3
FBtr0085714	3349	3178.06	116.941	3105.47
FBtr0085713	3440	3269.06	1028.35	28090.5
FBtr0076256	334	163.538	2.92714	4
FBtr0339552	1718	1547.06	10.9971	142.162
FBtr0078950	1533	1362.06	23.6209	268.838
FBtr0070990	1321	1150.06	0.705936	6.78395
FBtr0100409	805	634.139	0.503559	2.66828
FBtr0343330	706	535.193	105.453	471.591
FBtr0304902	1617	1446.06	0.0827593	1
FBtr0304901	2286	2115.06	0	0
FBtr0078872	1228	1057.06	0.113215	1
FBtr0077839	2112	1941.06	6.02715	97.7571
FBtr0077837	2331	2160.06	6.19659	111.845
FBtr0077838	2235	2064.06	1.70563	29.4174
FBtr0077836	2325	2154.06	18.4997	332.981
FBtr0075133	4018	3847.06	0.589208	18.9407
FBtr0332862	2190	2019.06	4.50823	76.0593
